Year,State,Metric,Age Range,"Events per 1,000 women"
2006,AL,Abortion Rate,20-24,23.6
2007,AL,Abortion Rate,20-24,24.1
2008,AL,Abortion Rate,20-24,23.1
2009,AL,Abortion Rate,20-24,21.9
2010,AL,Abortion Rate,20-24,20.8
2011,AL,Abortion Rate,20-24,19.4
2012,AL,Abortion Rate,20-24,17.1
2013,AL,Abortion Rate,20-24,16.2
2014,AL,Abortion Rate,20-24,16.4
2015,AL,Abortion Rate,20-24,16.9
2016,AL,Abortion Rate,20-24,15.7
1988,AK,Abortion Rate,20-24,43.9
1992,AK,Abortion Rate,20-24,56
1996,AK,Abortion Rate,20-24,46.9
2000,AK,Abortion Rate,20-24,33
2005,AK,Abortion Rate,20-24,31.4
2006,AK,Abortion Rate,20-24,29.8
2007,AK,Abortion Rate,20-24,26.8
2008,AK,Abortion Rate,20-24,27.2
2009,AK,Abortion Rate,20-24,27.7
2010,AK,Abortion Rate,20-24,29.1
2011,AK,Abortion Rate,20-24,27.5
2012,AK,Abortion Rate,20-24,25.4
2013,AK,Abortion Rate,20-24,21.7
2014,AK,Abortion Rate,20-24,20.5
2015,AK,Abortion Rate,20-24,20.3
2016,AK,Abortion Rate,20-24,17.3
1988,AZ,Abortion Rate,20-24,53.8
1992,AZ,Abortion Rate,20-24,52.5
1996,AZ,Abortion Rate,20-24,42.1
2000,AZ,Abortion Rate,20-24,34.5
2005,AZ,Abortion Rate,20-24,34.5
2006,AZ,Abortion Rate,20-24,31.7
2007,AZ,Abortion Rate,20-24,29.1
2008,AZ,Abortion Rate,20-24,33.1
2009,AZ,Abortion Rate,20-24,28.5
2010,AZ,Abortion Rate,20-24,23.7
2011,AZ,Abortion Rate,20-24,23.6
2012,AZ,Abortion Rate,20-24,21.5
2013,AZ,Abortion Rate,20-24,19.1
2014,AZ,Abortion Rate,20-24,18.2
2015,AZ,Abortion Rate,20-24,17.7
2016,AZ,Abortion Rate,20-24,18.4
1988,AR,Abortion Rate,20-24,27.9
1992,AR,Abortion Rate,20-24,37.6
1996,AR,Abortion Rate,20-24,26.2
2000,AR,Abortion Rate,20-24,22.7
2005,AR,Abortion Rate,20-24,18.1
2006,AR,Abortion Rate,20-24,18
2007,AR,Abortion Rate,20-24,19.2
2008,AR,Abortion Rate,20-24,18.9
2009,AR,Abortion Rate,20-24,18.9
2010,AR,Abortion Rate,20-24,17.7
2011,AR,Abortion Rate,20-24,16.8
2012,AR,Abortion Rate,20-24,16.2
2013,AR,Abortion Rate,20-24,14.6
2014,AR,Abortion Rate,20-24,13.3
2015,AR,Abortion Rate,20-24,12.4
2016,AR,Abortion Rate,20-24,11.9
1988,CA,Abortion Rate,20-24,87
1992,CA,Abortion Rate,20-24,91.2
1996,CA,Abortion Rate,20-24,71.6
2000,CA,Abortion Rate,20-24,67.4
2005,CA,Abortion Rate,20-24,53.6
2006,CA,Abortion Rate,20-24,55.6
2007,CA,Abortion Rate,20-24,57
2008,CA,Abortion Rate,20-24,54.1
2009,CA,Abortion Rate,20-24,50.3
2010,CA,Abortion Rate,20-24,46.5
2011,CA,Abortion Rate,20-24,42.4
2012,CA,Abortion Rate,20-24,39.8
2013,CA,Abortion Rate,20-24,37.9
2014,CA,Abortion Rate,20-24,35.7
2015,CA,Abortion Rate,20-24,33.3
2016,CA,Abortion Rate,20-24,30.8
1988,CO,Abortion Rate,20-24,46.2
1992,CO,Abortion Rate,20-24,49.8
1996,CO,Abortion Rate,20-24,40.3
2000,CO,Abortion Rate,20-24,29
2005,CO,Abortion Rate,20-24,30.5
2006,CO,Abortion Rate,20-24,30.7
2007,CO,Abortion Rate,20-24,31.4
2008,CO,Abortion Rate,20-24,31.3
2009,CO,Abortion Rate,20-24,28.9
2010,CO,Abortion Rate,20-24,27.8
2011,CO,Abortion Rate,20-24,25.2
2012,CO,Abortion Rate,20-24,23.8
2013,CO,Abortion Rate,20-24,21.7
2014,CO,Abortion Rate,20-24,21.5
2015,CO,Abortion Rate,20-24,20.5
2016,CO,Abortion Rate,20-24,19.3
1988,CT,Abortion Rate,20-24,61.6
1992,CT,Abortion Rate,20-24,61.6
1996,CT,Abortion Rate,20-24,55.1
2000,CT,Abortion Rate,20-24,54.2
2005,CT,Abortion Rate,20-24,56.2
2006,CT,Abortion Rate,20-24,55.7
2007,CT,Abortion Rate,20-24,55.8
2008,CT,Abortion Rate,20-24,53.2
2009,CT,Abortion Rate,20-24,50.1
2010,CT,Abortion Rate,20-24,46.1
2011,CT,Abortion Rate,20-24,44.4
2012,CT,Abortion Rate,20-24,42
2013,CT,Abortion Rate,20-24,38.6
2014,CT,Abortion Rate,20-24,36.6
2015,CT,Abortion Rate,20-24,33
2016,CT,Abortion Rate,20-24,30.5
1988,DE,Abortion Rate,20-24,53.7
1992,DE,Abortion Rate,20-24,57.8
1996,DE,Abortion Rate,20-24,40.6
2000,DE,Abortion Rate,20-24,50.2
2005,DE,Abortion Rate,20-24,51
2006,DE,Abortion Rate,20-24,57.6
2007,DE,Abortion Rate,20-24,68.7
2008,DE,Abortion Rate,20-24,63.4
2009,DE,Abortion Rate,20-24,58.8
2010,DE,Abortion Rate,20-24,56.7
2011,DE,Abortion Rate,20-24,49
2012,DE,Abortion Rate,20-24,42.9
2013,DE,Abortion Rate,20-24,33.7
2014,DE,Abortion Rate,20-24,34
2015,DE,Abortion Rate,20-24,31.8
2016,DE,Abortion Rate,20-24,28
2000,DC,Abortion Rate,20-24,67.1
2005,DC,Abortion Rate,20-24,69.2
2006,DC,Abortion Rate,20-24,58.2
2007,DC,Abortion Rate,20-24,51.4
2008,DC,Abortion Rate,20-24,54.2
2009,DC,Abortion Rate,20-24,46.6
2010,DC,Abortion Rate,20-24,37.1
2011,DC,Abortion Rate,20-24,34.6
2012,DC,Abortion Rate,20-24,35
2013,DC,Abortion Rate,20-24,41.2
2014,DC,Abortion Rate,20-24,44.9
2015,DC,Abortion Rate,20-24,38.4
2016,DC,Abortion Rate,20-24,27.7
1988,FL,Abortion Rate,20-24,57.2
1992,FL,Abortion Rate,20-24,63.8
1996,FL,Abortion Rate,20-24,71.4
2000,FL,Abortion Rate,20-24,71.6
2005,FL,Abortion Rate,20-24,49.6
2006,FL,Abortion Rate,20-24,49.7
2007,FL,Abortion Rate,20-24,49.8
2008,FL,Abortion Rate,20-24,48
2009,FL,Abortion Rate,20-24,46.4
2010,FL,Abortion Rate,20-24,44.4
2011,FL,Abortion Rate,20-24,41.7
2012,FL,Abortion Rate,20-24,39.1
2013,FL,Abortion Rate,20-24,37.2
2014,FL,Abortion Rate,20-24,36.2
2015,FL,Abortion Rate,20-24,34.5
2016,FL,Abortion Rate,20-24,31.7
1988,GA,Abortion Rate,20-24,43.6
1992,GA,Abortion Rate,20-24,51.9
1996,GA,Abortion Rate,20-24,42.6
2000,GA,Abortion Rate,20-24,37.2
2005,GA,Abortion Rate,20-24,32.2
2006,GA,Abortion Rate,20-24,32.3
2007,GA,Abortion Rate,20-24,32.8
2008,GA,Abortion Rate,20-24,37.3
2009,GA,Abortion Rate,20-24,34.2
2010,GA,Abortion Rate,20-24,32.6
2011,GA,Abortion Rate,20-24,31
2012,GA,Abortion Rate,20-24,29.8
2013,GA,Abortion Rate,20-24,28.3
2014,GA,Abortion Rate,20-24,27.3
2015,GA,Abortion Rate,20-24,27.4
2016,GA,Abortion Rate,20-24,27.2
1988,HI,Abortion Rate,20-24,82.6
1992,HI,Abortion Rate,20-24,105.9
1996,HI,Abortion Rate,20-24,58.1
2000,HI,Abortion Rate,20-24,45.1
2005,HI,Abortion Rate,20-24,40.5
2006,HI,Abortion Rate,20-24,42.3
2007,HI,Abortion Rate,20-24,43.1
2008,HI,Abortion Rate,20-24,43.3
2009,HI,Abortion Rate,20-24,41.1
2010,HI,Abortion Rate,20-24,41.7
2011,HI,Abortion Rate,20-24,40.1
2012,HI,Abortion Rate,20-24,34.5
2013,HI,Abortion Rate,20-24,32.7
2014,HI,Abortion Rate,20-24,27.1
2015,HI,Abortion Rate,20-24,22.1
2016,HI,Abortion Rate,20-24,21.1
1988,ID,Abortion Rate,20-24,26.1
1992,ID,Abortion Rate,20-24,20.2
1996,ID,Abortion Rate,20-24,16.7
2000,ID,Abortion Rate,20-24,20.4
2005,ID,Abortion Rate,20-24,14.6
2006,ID,Abortion Rate,20-24,16.3
2007,ID,Abortion Rate,20-24,17.8
2008,ID,Abortion Rate,20-24,16.7
2009,ID,Abortion Rate,20-24,15.9
2010,ID,Abortion Rate,20-24,15.1
2011,ID,Abortion Rate,20-24,14.1
2012,ID,Abortion Rate,20-24,12.6
2013,ID,Abortion Rate,20-24,12.1
2014,ID,Abortion Rate,20-24,11.3
2015,ID,Abortion Rate,20-24,11.4
2016,ID,Abortion Rate,20-24,11.3
1988,IL,Abortion Rate,20-24,55.5
1992,IL,Abortion Rate,20-24,57.9
1996,IL,Abortion Rate,20-24,54.5
2000,IL,Abortion Rate,20-24,45.4
2005,IL,Abortion Rate,20-24,34.4
2006,IL,Abortion Rate,20-24,34.8
2007,IL,Abortion Rate,20-24,34.2
2008,IL,Abortion Rate,20-24,37.4
2009,IL,Abortion Rate,20-24,33.6
2010,IL,Abortion Rate,20-24,30.4
2011,IL,Abortion Rate,20-24,30.6
2012,IL,Abortion Rate,20-24,29.9
2013,IL,Abortion Rate,20-24,29.5
2014,IL,Abortion Rate,20-24,28.9
2015,IL,Abortion Rate,20-24,27.6
2016,IL,Abortion Rate,20-24,26.7
1988,IN,Abortion Rate,20-24,32.8
1992,IN,Abortion Rate,20-24,35.3
1996,IN,Abortion Rate,20-24,30.8
2000,IN,Abortion Rate,20-24,25.2
2005,IN,Abortion Rate,20-24,20.6
2006,IN,Abortion Rate,20-24,19.9
2007,IN,Abortion Rate,20-24,18.8
2008,IN,Abortion Rate,20-24,19.3
2009,IN,Abortion Rate,20-24,18.3
2010,IN,Abortion Rate,20-24,17.4
2011,IN,Abortion Rate,20-24,15.7
2012,IN,Abortion Rate,20-24,14.5
2013,IN,Abortion Rate,20-24,13.9
2014,IN,Abortion Rate,20-24,14
2015,IN,Abortion Rate,20-24,14.5
2016,IN,Abortion Rate,20-24,14.6
1988,IA,Abortion Rate,20-24,33.8
1992,IA,Abortion Rate,20-24,25.4
1996,IA,Abortion Rate,20-24,20.8
2000,IA,Abortion Rate,20-24,21.4
2005,IA,Abortion Rate,20-24,19.9
2006,IA,Abortion Rate,20-24,20.8
2007,IA,Abortion Rate,20-24,21.6
2008,IA,Abortion Rate,20-24,20.6
2009,IA,Abortion Rate,20-24,19.2
2010,IA,Abortion Rate,20-24,18.8
2011,IA,Abortion Rate,20-24,17.7
2012,IA,Abortion Rate,20-24,15.5
2013,IA,Abortion Rate,20-24,12.8
2014,IA,Abortion Rate,20-24,11.6
2015,IA,Abortion Rate,20-24,11.6
2016,IA,Abortion Rate,20-24,11.4
1988,KS,Abortion Rate,20-24,24.9
1992,KS,Abortion Rate,20-24,27.9
1996,KS,Abortion Rate,20-24,26.3
2000,KS,Abortion Rate,20-24,23.9
2005,KS,Abortion Rate,20-24,18.8
2006,KS,Abortion Rate,20-24,18.6
2007,KS,Abortion Rate,20-24,19.6
2008,KS,Abortion Rate,20-24,19.7
2009,KS,Abortion Rate,20-24,16.2
2010,KS,Abortion Rate,20-24,13.5
2011,KS,Abortion Rate,20-24,13
2012,KS,Abortion Rate,20-24,12.6
2013,KS,Abortion Rate,20-24,12.6
2014,KS,Abortion Rate,20-24,11.8
2015,KS,Abortion Rate,20-24,11
2016,KS,Abortion Rate,20-24,10.4
1988,KY,Abortion Rate,20-24,22.9
1992,KY,Abortion Rate,20-24,23.7
1996,KY,Abortion Rate,20-24,19.6
2000,KY,Abortion Rate,20-24,16.5
2005,KY,Abortion Rate,20-24,14.1
2006,KY,Abortion Rate,20-24,13.7
2007,KY,Abortion Rate,20-24,13.7
2008,KY,Abortion Rate,20-24,15
2009,KY,Abortion Rate,20-24,13.7
2010,KY,Abortion Rate,20-24,13.4
2011,KY,Abortion Rate,20-24,12.8
2012,KY,Abortion Rate,20-24,11.7
2013,KY,Abortion Rate,20-24,11.3
2014,KY,Abortion Rate,20-24,10.7
2015,KY,Abortion Rate,20-24,10.9
2016,KY,Abortion Rate,20-24,9.5
1988,LA,Abortion Rate,20-24,30.2
1992,LA,Abortion Rate,20-24,24.5
1996,LA,Abortion Rate,20-24,28.5
2000,LA,Abortion Rate,20-24,25.1
2005,LA,Abortion Rate,20-24,20.3
2006,LA,Abortion Rate,20-24,24.2
2007,LA,Abortion Rate,20-24,28.2
2008,LA,Abortion Rate,20-24,30.7
2009,LA,Abortion Rate,20-24,27.2
2010,LA,Abortion Rate,20-24,24.1
2011,LA,Abortion Rate,20-24,22.3
2012,LA,Abortion Rate,20-24,19.9
2013,LA,Abortion Rate,20-24,17.9
2014,LA,Abortion Rate,20-24,17.8
2015,LA,Abortion Rate,20-24,18.1
2016,LA,Abortion Rate,20-24,18.4
1988,ME,Abortion Rate,20-24,29.3
1992,ME,Abortion Rate,20-24,33.5
1996,ME,Abortion Rate,20-24,27.6
2000,ME,Abortion Rate,20-24,25.6
2005,ME,Abortion Rate,20-24,24.3
2006,ME,Abortion Rate,20-24,27.3
2007,ME,Abortion Rate,20-24,27.2
2008,ME,Abortion Rate,20-24,26.6
2009,ME,Abortion Rate,20-24,25.5
2010,ME,Abortion Rate,20-24,22.7
2011,ME,Abortion Rate,20-24,21.4
2012,ME,Abortion Rate,20-24,20
2013,ME,Abortion Rate,20-24,20.3
2014,ME,Abortion Rate,20-24,20
2015,ME,Abortion Rate,20-24,19.2
2016,ME,Abortion Rate,20-24,16.3
1988,MD,Abortion Rate,20-24,71.2
1992,MD,Abortion Rate,20-24,78.1
1996,MD,Abortion Rate,20-24,75.9
2000,MD,Abortion Rate,20-24,77
2005,MD,Abortion Rate,20-24,61.6
2006,MD,Abortion Rate,20-24,54.3
2007,MD,Abortion Rate,20-24,51.9
2008,MD,Abortion Rate,20-24,51.3
2009,MD,Abortion Rate,20-24,52.4
2010,MD,Abortion Rate,20-24,53.9
2011,MD,Abortion Rate,20-24,55.4
2012,MD,Abortion Rate,20-24,51.4
2013,MD,Abortion Rate,20-24,46.5
2014,MD,Abortion Rate,20-24,44.8
2015,MD,Abortion Rate,20-24,42.6
2016,MD,Abortion Rate,20-24,40.6
1988,MA,Abortion Rate,20-24,49.4
1992,MA,Abortion Rate,20-24,56.2
1996,MA,Abortion Rate,20-24,60.2
2000,MA,Abortion Rate,20-24,44
2005,MA,Abortion Rate,20-24,41.6
2006,MA,Abortion Rate,20-24,39.1
2007,MA,Abortion Rate,20-24,37.3
2008,MA,Abortion Rate,20-24,37.2
2009,MA,Abortion Rate,20-24,35.7
2010,MA,Abortion Rate,20-24,34.8
2011,MA,Abortion Rate,20-24,34.1
2012,MA,Abortion Rate,20-24,32.1
2013,MA,Abortion Rate,20-24,29
2014,MA,Abortion Rate,20-24,27.5
2015,MA,Abortion Rate,20-24,25.1
2016,MA,Abortion Rate,20-24,22.6
1988,MI,Abortion Rate,20-24,55.3
1992,MI,Abortion Rate,20-24,54.2
1996,MI,Abortion Rate,20-24,47.6
2000,MI,Abortion Rate,20-24,45.7
2005,MI,Abortion Rate,20-24,38.5
2006,MI,Abortion Rate,20-24,36.1
2007,MI,Abortion Rate,20-24,35.2
2008,MI,Abortion Rate,20-24,36.1
2009,MI,Abortion Rate,20-24,34
2010,MI,Abortion Rate,20-24,31
2011,MI,Abortion Rate,20-24,30
2012,MI,Abortion Rate,20-24,29
2013,MI,Abortion Rate,20-24,28.3
2014,MI,Abortion Rate,20-24,27.4
2015,MI,Abortion Rate,20-24,25.5
2016,MI,Abortion Rate,20-24,24.1
1988,MN,Abortion Rate,20-24,35.1
1992,MN,Abortion Rate,20-24,33.7
1996,MN,Abortion Rate,20-24,30.2
2000,MN,Abortion Rate,20-24,29
2005,MN,Abortion Rate,20-24,25.5
2006,MN,Abortion Rate,20-24,25.2
2007,MN,Abortion Rate,20-24,25.6
2008,MN,Abortion Rate,20-24,23.6
2009,MN,Abortion Rate,20-24,22.6
2010,MN,Abortion Rate,20-24,21.8
2011,MN,Abortion Rate,20-24,20.4
2012,MN,Abortion Rate,20-24,19.2
2013,MN,Abortion Rate,20-24,17.6
2014,MN,Abortion Rate,20-24,16
2015,MN,Abortion Rate,20-24,15.5
2016,MN,Abortion Rate,20-24,15.1
1988,MS,Abortion Rate,20-24,19
1992,MS,Abortion Rate,20-24,30.2
1996,MS,Abortion Rate,20-24,32.2
2000,MS,Abortion Rate,20-24,31.6
2005,MS,Abortion Rate,20-24,26.9
2006,MS,Abortion Rate,20-24,27.7
2007,MS,Abortion Rate,20-24,28.3
2008,MS,Abortion Rate,20-24,28.3
2009,MS,Abortion Rate,20-24,26.4
2010,MS,Abortion Rate,20-24,24
2011,MS,Abortion Rate,20-24,22.1
2012,MS,Abortion Rate,20-24,19.8
2013,MS,Abortion Rate,20-24,17.9
2014,MS,Abortion Rate,20-24,17.6
2015,MS,Abortion Rate,20-24,16.2
2016,MS,Abortion Rate,20-24,15.4
1988,MO,Abortion Rate,20-24,41.8
1992,MO,Abortion Rate,20-24,37.1
1996,MO,Abortion Rate,20-24,28.8
2000,MO,Abortion Rate,20-24,29.7
2005,MO,Abortion Rate,20-24,24.4
2006,MO,Abortion Rate,20-24,25.2
2007,MO,Abortion Rate,20-24,26.3
2008,MO,Abortion Rate,20-24,26
2009,MO,Abortion Rate,20-24,23.4
2010,MO,Abortion Rate,20-24,20.4
2011,MO,Abortion Rate,20-24,20
2012,MO,Abortion Rate,20-24,18.4
2013,MO,Abortion Rate,20-24,17.5
2014,MO,Abortion Rate,20-24,15.2
2015,MO,Abortion Rate,20-24,15.5
2016,MO,Abortion Rate,20-24,15.9
1988,MT,Abortion Rate,20-24,26.9
1992,MT,Abortion Rate,20-24,34.7
1996,MT,Abortion Rate,20-24,27.1
2000,MT,Abortion Rate,20-24,27.1
2005,MT,Abortion Rate,20-24,20.6
2006,MT,Abortion Rate,20-24,22.2
2007,MT,Abortion Rate,20-24,23.5
2008,MT,Abortion Rate,20-24,22.1
2009,MT,Abortion Rate,20-24,20.5
2010,MT,Abortion Rate,20-24,21.5
2011,MT,Abortion Rate,20-24,20.3
2012,MT,Abortion Rate,20-24,18.3
2013,MT,Abortion Rate,20-24,15.7
2014,MT,Abortion Rate,20-24,14.6
2015,MT,Abortion Rate,20-24,13.9
2016,MT,Abortion Rate,20-24,13.8
1988,NE,Abortion Rate,20-24,30.8
1992,NE,Abortion Rate,20-24,32.8
1996,NE,Abortion Rate,20-24,23.7
2000,NE,Abortion Rate,20-24,21.8
2005,NE,Abortion Rate,20-24,15.8
2006,NE,Abortion Rate,20-24,13.8
2007,NE,Abortion Rate,20-24,13.4
2008,NE,Abortion Rate,20-24,15.4
2009,NE,Abortion Rate,20-24,14.4
2010,NE,Abortion Rate,20-24,13.7
2011,NE,Abortion Rate,20-24,13.4
2012,NE,Abortion Rate,20-24,12.9
2013,NE,Abortion Rate,20-24,12.6
2014,NE,Abortion Rate,20-24,11.6
2015,NE,Abortion Rate,20-24,9.6
2016,NE,Abortion Rate,20-24,9.3
1988,NV,Abortion Rate,20-24,70
1992,NV,Abortion Rate,20-24,92.3
1996,NV,Abortion Rate,20-24,80.5
2000,NV,Abortion Rate,20-24,61
2005,NV,Abortion Rate,20-24,51.2
2006,NV,Abortion Rate,20-24,50.6
2007,NV,Abortion Rate,20-24,48.5
2008,NV,Abortion Rate,20-24,46.9
2009,NV,Abortion Rate,20-24,44.9
2010,NV,Abortion Rate,20-24,43.8
2011,NV,Abortion Rate,20-24,40.4
2012,NV,Abortion Rate,20-24,34.5
2013,NV,Abortion Rate,20-24,32
2014,NV,Abortion Rate,20-24,35.1
2015,NV,Abortion Rate,20-24,33.4
2016,NV,Abortion Rate,20-24,29.5
1988,NH,Abortion Rate,20-24,44.5
1992,NH,Abortion Rate,20-24,37.8
1996,NH,Abortion Rate,20-24,42
2000,NH,Abortion Rate,20-24,35.6
2005,NH,Abortion Rate,20-24,24.8
2006,NH,Abortion Rate,20-24,24.2
2007,NH,Abortion Rate,20-24,23.9
2008,NH,Abortion Rate,20-24,23.5
2009,NH,Abortion Rate,20-24,23.4
2010,NH,Abortion Rate,20-24,23.2
2011,NH,Abortion Rate,20-24,24.6
2012,NH,Abortion Rate,20-24,20.8
2013,NH,Abortion Rate,20-24,17.7
2014,NH,Abortion Rate,20-24,18.4
2015,NH,Abortion Rate,20-24,17
2016,NH,Abortion Rate,20-24,15.6
1988,NJ,Abortion Rate,20-24,73.7
1992,NJ,Abortion Rate,20-24,77.2
1996,NJ,Abortion Rate,20-24,87.7
2000,NJ,Abortion Rate,20-24,90.4
2005,NJ,Abortion Rate,20-24,75
2006,NJ,Abortion Rate,20-24,71.2
2007,NJ,Abortion Rate,20-24,69.3
2008,NJ,Abortion Rate,20-24,66.7
2009,NJ,Abortion Rate,20-24,63.4
2010,NJ,Abortion Rate,20-24,60.5
2011,NJ,Abortion Rate,20-24,56.5
2012,NJ,Abortion Rate,20-24,51.2
2013,NJ,Abortion Rate,20-24,49.5
2014,NJ,Abortion Rate,20-24,46.8
2015,NJ,Abortion Rate,20-24,47.2
2016,NJ,Abortion Rate,20-24,49.3
1988,NM,Abortion Rate,20-24,44.2
1992,NM,Abortion Rate,20-24,47.1
1996,NM,Abortion Rate,20-24,35.5
2000,NM,Abortion Rate,20-24,36.7
2005,NM,Abortion Rate,20-24,34.9
2006,NM,Abortion Rate,20-24,37.1
2007,NM,Abortion Rate,20-24,38.3
2008,NM,Abortion Rate,20-24,35.2
2009,NM,Abortion Rate,20-24,30.9
2010,NM,Abortion Rate,20-24,29.5
2011,NM,Abortion Rate,20-24,26.1
2012,NM,Abortion Rate,20-24,21.6
2013,NM,Abortion Rate,20-24,18.6
2014,NM,Abortion Rate,20-24,17.5
2015,NM,Abortion Rate,20-24,17.9
2016,NM,Abortion Rate,20-24,18.6
1988,NY,Abortion Rate,20-24,79.5
1992,NY,Abortion Rate,20-24,89
1996,NY,Abortion Rate,20-24,79.9
2000,NY,Abortion Rate,20-24,77.5
2005,NY,Abortion Rate,20-24,71.2
2006,NY,Abortion Rate,20-24,68.7
2007,NY,Abortion Rate,20-24,66.5
2008,NY,Abortion Rate,20-24,67.3
2009,NY,Abortion Rate,20-24,64.3
2010,NY,Abortion Rate,20-24,62.4
2011,NY,Abortion Rate,20-24,60.6
2012,NY,Abortion Rate,20-24,55.8
2013,NY,Abortion Rate,20-24,51.7
2014,NY,Abortion Rate,20-24,50.9
2015,NY,Abortion Rate,20-24,49.5
2016,NY,Abortion Rate,20-24,45
1988,NC,Abortion Rate,20-24,47.6
1992,NC,Abortion Rate,20-24,44.5
1996,NC,Abortion Rate,20-24,41.6
2000,NC,Abortion Rate,20-24,42.8
2005,NC,Abortion Rate,20-24,34.3
2006,NC,Abortion Rate,20-24,34.4
2007,NC,Abortion Rate,20-24,33.6
2008,NC,Abortion Rate,20-24,31.6
2009,NC,Abortion Rate,20-24,30.2
2010,NC,Abortion Rate,20-24,28.7
2011,NC,Abortion Rate,20-24,25.5
2012,NC,Abortion Rate,20-24,26.1
2013,NC,Abortion Rate,20-24,26.3
2014,NC,Abortion Rate,20-24,25.9
2015,NC,Abortion Rate,20-24,24.1
2016,NC,Abortion Rate,20-24,21.5
1988,ND,Abortion Rate,20-24,20.4
1992,ND,Abortion Rate,20-24,18.7
1996,ND,Abortion Rate,20-24,15.4
2000,ND,Abortion Rate,20-24,13
2005,ND,Abortion Rate,20-24,11.2
2006,ND,Abortion Rate,20-24,11.8
2007,ND,Abortion Rate,20-24,12.4
2008,ND,Abortion Rate,20-24,13.6
2009,ND,Abortion Rate,20-24,13.3
2010,ND,Abortion Rate,20-24,13.5
2011,ND,Abortion Rate,20-24,12.5
2012,ND,Abortion Rate,20-24,12
2013,ND,Abortion Rate,20-24,10.4
2014,ND,Abortion Rate,20-24,11.3
2015,ND,Abortion Rate,20-24,10.5
2016,ND,Abortion Rate,20-24,9.6
1988,OH,Abortion Rate,20-24,41.6
1992,OH,Abortion Rate,20-24,42.8
1996,OH,Abortion Rate,20-24,37.8
2000,OH,Abortion Rate,20-24,35.4
2005,OH,Abortion Rate,20-24,29.5
2006,OH,Abortion Rate,20-24,29.7
2007,OH,Abortion Rate,20-24,29.1
2008,OH,Abortion Rate,20-24,29.4
2009,OH,Abortion Rate,20-24,28
2010,OH,Abortion Rate,20-24,26.3
2011,OH,Abortion Rate,20-24,25.1
2012,OH,Abortion Rate,20-24,22.7
2013,OH,Abortion Rate,20-24,21.4
2014,OH,Abortion Rate,20-24,19.9
2015,OH,Abortion Rate,20-24,18.3
2016,OH,Abortion Rate,20-24,17.5
1988,OK,Abortion Rate,20-24,34.3
1992,OK,Abortion Rate,20-24,28.1
1996,OK,Abortion Rate,20-24,24.8
2000,OK,Abortion Rate,20-24,22.4
2005,OK,Abortion Rate,20-24,19.5
2006,OK,Abortion Rate,20-24,20.4
2007,OK,Abortion Rate,20-24,20.2
2008,OK,Abortion Rate,20-24,19.8
2009,OK,Abortion Rate,20-24,18.1
2010,OK,Abortion Rate,20-24,16.1
2011,OK,Abortion Rate,20-24,15.1
2012,OK,Abortion Rate,20-24,14.1
2013,OK,Abortion Rate,20-24,13.3
2014,OK,Abortion Rate,20-24,11.9
2015,OK,Abortion Rate,20-24,11.5
2016,OK,Abortion Rate,20-24,10.5
1988,OR,Abortion Rate,20-24,50.6
1992,OR,Abortion Rate,20-24,52.8
1996,OR,Abortion Rate,20-24,41.5
2000,OR,Abortion Rate,20-24,44.2
2005,OR,Abortion Rate,20-24,31.5
2006,OR,Abortion Rate,20-24,32.2
2007,OR,Abortion Rate,20-24,31.9
2008,OR,Abortion Rate,20-24,28.9
2009,OR,Abortion Rate,20-24,27.8
2010,OR,Abortion Rate,20-24,26.3
2011,OR,Abortion Rate,20-24,24.9
2012,OR,Abortion Rate,20-24,23
2013,OR,Abortion Rate,20-24,20.5
2014,OR,Abortion Rate,20-24,20.3
2015,OR,Abortion Rate,20-24,20.9
2016,OR,Abortion Rate,20-24,20
1988,PA,Abortion Rate,20-24,36.9
1992,PA,Abortion Rate,20-24,41
1996,PA,Abortion Rate,20-24,35.5
2000,PA,Abortion Rate,20-24,34.5
2005,PA,Abortion Rate,20-24,31.7
2006,PA,Abortion Rate,20-24,33.1
2007,PA,Abortion Rate,20-24,34.9
2008,PA,Abortion Rate,20-24,38.9
2009,PA,Abortion Rate,20-24,36.7
2010,PA,Abortion Rate,20-24,34.3
2011,PA,Abortion Rate,20-24,31.3
2012,PA,Abortion Rate,20-24,29.1
2013,PA,Abortion Rate,20-24,27.3
2014,PA,Abortion Rate,20-24,26.7
2015,PA,Abortion Rate,20-24,26.4
2016,PA,Abortion Rate,20-24,25.9
1988,RI,Abortion Rate,20-24,47
1992,RI,Abortion Rate,20-24,46.6
1996,RI,Abortion Rate,20-24,48.8
2000,RI,Abortion Rate,20-24,45
2005,RI,Abortion Rate,20-24,40.7
2006,RI,Abortion Rate,20-24,40.4
2007,RI,Abortion Rate,20-24,37.1
2008,RI,Abortion Rate,20-24,38.6
2009,RI,Abortion Rate,20-24,35.5
2010,RI,Abortion Rate,20-24,32.5
2011,RI,Abortion Rate,20-24,31.4
2012,RI,Abortion Rate,20-24,29.8
2013,RI,Abortion Rate,20-24,25.9
2014,RI,Abortion Rate,20-24,27.2
2015,RI,Abortion Rate,20-24,26.1
2016,RI,Abortion Rate,20-24,27
1988,SC,Abortion Rate,20-24,37.5
1992,SC,Abortion Rate,20-24,35.6
1996,SC,Abortion Rate,20-24,30.6
2000,SC,Abortion Rate,20-24,28.6
2005,SC,Abortion Rate,20-24,28
2006,SC,Abortion Rate,20-24,29.3
